iter	Passed	Remaining
456	834	991
457	836	989
458	837	987
459	840	987
460	842	985
461	844	982
462	845	981
463	847	979
464	849	977
465	850	975
466	852	972
467	853	970
468	855	968
469	856	966
470	858	963
471	859	961
472	861	959
473	862	957
474	864	955
475	865	953
476	867	950
477	868	948
478	869	946
479	871	944
480	873	942
481	874	940
482	876	937
483	877	935
484	879	933
485	880	931
486	882	929
487	883	927
488	885	925
489	886	923
490	888	920
491	889	918
492	891	916
493	892	914
494	894	912
495	895	910
496	897	908
497	898	906
498	900	904
499	902	902
500	903	900
501	905	898
502	906	895
503	908	894
504	910	892
505	911	890
506	913	887
507	914	885
508	915	883
509	917	881
510	919	879
511	920	877
512	921	874
513	923	872
514	924	870
515	926	868
516	927	866
517	929	864
518	930	862
519	932	860
520	933	858
521	935	856
522	936	854
523	938	852
524	939	849
525	940	847
526	942	845
527	944	843
528	945	841
529	947	840
530	948	837
531	950	835
532	951	833
533	953	831
534	954	829
535	955	827
536	957	825
537	958	823
538	960	821
539	961	819
540	963	817
541	964	815
542	966	813
543	967	811
544	969	809
545	970	807
546	972	805
547	973	803
548	975	800
549	976	798
550	977	796
551	979	794
552	980	792
553	981	790
554	983	788
555	984	786
556	985	784
557	986	781
558	988	779
559	990	777
560	991	775
561	992	773
562	994	771
563	996	769
564	997	768
565	999	766
566	1000	764
567	1001	761
568	1003	759
569	1004	758
570	1006	756
571	1007	754
572	1009	751
573	1010	749
574	1011	747
575	1013	745
576	1014	743
577	1015	741
578	1017	740
579	1019	738
580	1020	736
581	1022	734
582	1023	732
583	1025	730
584	1026	728
585	1028	726
586	1029	724
587	1030	722
588	1032	720
589	1033	717
590	1034	716
591	1036	714
592	1037	712
593	1039	710
594	1040	708
595	1042	706
596	1044	704
597	1045	702
598	1046	700
599	1047	698
600	1049	696
601	1050	694
602	1052	692
603	1053	690
604	1055	689
605	1056	687
606	1058	685
607	1059	683
608	1060	681
609	1061	678
610	1063	676
611	1064	675
612	1066	673
613	1067	671
614	1069	669
615	1071	667
616	1072	665
617	1073	663
618	1075	661
619	1076	659
620	1078	658
621	1079	656
622	1081	654
623	1082	652
624	1083	650
625	1085	648
626	1087	646
627	1088	645
628	1090	643
629	1092	641
630	1093	639
631	1095	637
632	1096	635
633	1098	634
634	1100	632
635	1101	630
636	1102	628
637	1103	626
638	1105	624
639	1106	622
640	1108	620
641	1109	618
642	1111	616
643	1112	615
644	1114	613
645	1115	611
646	1117	609
647	1118	607
648	1119	605
649	1121	603
650	1122	601
651	1124	599
652	1125	598
653	1127	596
654	1128	594
655	1129	592
656	1131	590
657	1132	588
658	1134	586
659	1135	585
660	1137	583
661	1138	581
662	1140	579
663	1141	577
664	1142	575
665	1144	573
666	1145	572
667	1147	570
668	1148	568
669	1150	566
670	1151	564
671	1153	562
672	1154	561
673	1156	559
674	1158	557
675	1159	555
676	1160	553
677	1162	552
678	1164	550
679	1166	548
680	1167	547
681	1169	545
682	1170	543
683	1172	541
684	1174	539
685	1175	538
686	1176	536
687	1178	534
688	1180	532
689	1182	531
690	1183	529
691	1184	527
692	1186	525
693	1188	524
694	1189	522
695	1191	520
696	1192	518
697	1194	516
698	1196	515
699	1197	513
700	1199	511
701	1200	509
702	1202	507
703	1203	506
704	1205	504
705	1206	502
706	1207	500
707	1209	498
708	1211	497
709	1212	495
710	1214	493
711	1216	491
712	1217	490
713	1218	488
714	1220	486
715	1221	484
716	1222	482
717	1224	481
718	1226	479
719	1227	477
720	1229	475
721	1230	473
722	1232	472
723	1233	470
724	1234	468
725	1236	466
726	1237	464
727	1239	463
728	1240	461
729	1242	459
730	1243	457
731	1245	455
732	1246	454
733	1248	452
734	1249	450
735	1251	448
736	1252	447
737	1254	445
738	1256	443
739	1257	441
740	1259	440
741	1260	438
742	1262	436
743	1263	434
744	1265	433
745	1267	431
746	1269	429
747	1270	428
748	1272	426
749	1274	424
750	1276	423
751	1278	421
752	1279	419
753	1281	417
754	1282	416
755	1284	414
756	1286	412
757	1287	411
758	1289	409
759	1290	407
760	1292	405
761	1293	404
762	1294	402
763	1296	400
764	1297	398
765	1298	396
766	1300	394
767	1301	393
768	1302	391
769	1303	389
770	1305	387
771	1306	385
772	1308	384
773	1309	382
774	1311	380
775	1313	379
776	1314	377
777	1315	375
778	1317	373
779	1318	371
780	1320	370
781	1321	368
782	1323	366
783	1324	364
784	1325	363
785	1327	361
786	1329	359
787	1330	358
788	1332	356
789	1333	354
790	1334	352
791	1336	350
792	1337	349
793	1338	347
794	1339	345
795	1341	343
796	1342	341
797	1343	340
798	1345	338
799	1346	336
800	1347	334
801	1349	333
802	1350	331
803	1352	329
804	1353	327
805	1354	326
806	1356	324
807	1358	322
808	1359	321
809	1361	319
810	1362	317
811	1364	315
812	1365	314
813	1367	312
814	1368	310
815	1369	308
816	1371	307
817	1373	305
818	1374	303
819	1375	302
820	1377	300
821	1378	298
822	1380	296
823	1381	295
824	1383	293
825	1384	291
826	1385	289
827	1387	288
828	1388	286
829	1390	284
830	1391	283
831	1393	281
832	1394	279
833	1396	277
834	1397	276
835	1399	274
836	1400	272
837	1402	271
838	1403	269
839	1405	267
840	1407	266
841	1408	264
842	1410	262
843	1411	260
844	1413	259
845	1415	257
846	1416	255
847	1417	254
848	1419	252
849	1420	250
850	1422	249
851	1424	247
852	1425	245
853	1427	244
854	1428	242
855	1430	240
856	1432	238
857	1433	237
858	1434	235
859	1436	233
860	1438	232
861	1439	230
862	1441	228
863	1442	227
864	1444	225
865	1445	223
866	1447	222
867	1448	220
868	1450	218
869	1451	216
870	1452	215
871	1454	213
872	1455	211
873	1456	210
874	1457	208
875	1459	206
876	1460	204
877	1462	203
878	1463	201
879	1465	199
880	1466	198
881	1468	196
882	1469	194
883	1471	193
884	1472	191
885	1473	189
886	1475	187
887	1476	186
888	1478	184
889	1479	182
890	1480	181
891	1481	179
892	1483	177
893	1484	176
894	1486	174
895	1487	172
896	1488	170
897	1490	169
898	1491	167
899	1493	165
900	1494	164
901	1496	162
902	1497	160
903	1499	159
904	1500	157
905	1502	155
906	1503	154
907	1504	152
908	1506	150
909	1507	149
910	1509	147
911	1510	145
912	1512	144
913	1513	142
914	1515	140
915	1516	139
916	1517	137
917	1519	135
918	1521	134
919	1522	132
920	1523	130
921	1525	129
922	1526	127
923	1527	125
924	1529	123
925	1530	122
926	1531	120
927	1533	118
928	1534	117
929	1536	115
930	1537	113
931	1538	112
932	1540	110
933	1541	108
934	1542	107
935	1544	105
936	1545	103
937	1546	102
938	1548	100
939	1550	98
940	1551	97
941	1552	95
942	1553	93
943	1555	92
944	1556	90
945	1558	88
946	1559	87
947	1561	85
948	1562	83
949	1564	82
950	1565	80
951	1566	78
952	1567	77
953	1569	75
954	1570	74
955	1572	72
956	1573	70
957	1574	69
958	1575	67
959	1577	65
960	1578	64
961	1580	62
962	1581	60
963	1582	59
964	1584	57
965	1585	55
966	1587	54
967	1588	52
968	1589	50
969	1591	49
970	1592	47
971	1594	45
972	1595	44
973	1597	42
974	1598	40
975	1600	39
976	1601	37
977	1603	36
978	1604	34
979	1605	32
980	1607	31
981	1609	29
982	1610	27
983	1611	26
984	1613	24
985	1614	22
986	1632	21
987	1634	19
988	1635	18
989	1637	16
990	1639	14
991	1640	13
992	1641	11
993	1643	9
994	1645	8
995	1647	6
996	1648	4
997	1649	3
998	1651	1
999	1652	0
